area,source,size_m2,price_jod,price_per_m2,title
عبدون,opensooq,320,230000,719,شقة اخير مع روف للبيع في كوريدور عبدون مساحة 320م2
عبدون,opensooq,110,80000,727,شقه للبيع في عبدون المساحه 110م- 14063
عبدون,opensooq,263,209000,795,شقة فاخرة للبيع في عبدون الشمالي قرب السفارة الهولندية طابق ثاني مع روف دوبلكس263م تشطيب سوبر ديلوكس
عبدون,opensooq,450,320000,711,شقة للبيع مع تراس مساحة الشقة والتراس 450م بتطشيبات مميزة بعبدون
عبدون,opensooq,200,125000,625,شقة فاخرة للبيع في عبدون الشمالي  - قرب المركز العربي طابق ثاني 200م تشطيب سوبر ديلوكس بسعر مغري
عبدون,opensooq,225,235000,1044,شقة فاخرة للبيع في عبدون الشمالي  -  قرب المركز العربي طابق اول 225م تشطيب سوبر ديلوكس
عبدون,opensooq,300,325000,1083,شقة شبه أرضي جديدة للبيع في أجمل مواقع عبدون مساحة 300م مع ترس و حديقة 200م تشطيبات عصرية فاخرة
عبدون,opensooq,150,158000,1053,شقة مميزة في عبدون للبيع 150 متر مفروشة ومطبخ راكب تصلح للاستثمار
عبدون,opensooq,230,180000,783,شقة أرضية جديدة للبيع عبدون مساحات 230م مع تراسات و حدائق تشطيبات ديكورات سوبر ديلوكس بأسعار مميزة
عبدون,opensooq,120,89000,742,شقة استثمارية للبيع عبدون مساحة 120م طابق أول تشطيبات و فرش فاخر اطلالة جميلة بسعر مميز جداً
عبدون,opensooq,356,280000,787,فرصة نادرة لامتلاك شقة طابقية فاخرة في عبدون 356 م مربع من المالك مباشرة مجال للتفاوض
عبدون,opensooq,115,105000,913,شقة مفروشة فاخرة للبيع في عبدون  - قرب إشارة السفارة الأمريكية طابق ارضي 115م تشطيب سوبر ديلوكس
عبدون,opensooq,112,115000,1027,شقة مفروشة فاخرة للبيع في عبدون  - قرب إشارة جونيا طابق اول 112م تشطيب سوبر ديلوكس
