area,title,size_m2,price_jod,price_per_m2,url
حجارة النوابلسة,شقق 180 طابقية مقابل وزارة الخارجية على طريق المطار,,,,https://qoshan.com/property/%d8%b4%d9%82%d9%82-180-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-%d9%85%d9%82%d8%a7%d8%a8%d9%84-%d9%88%d8%b2%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d8%ae%d8%a7%d8%b1%d8%ac%d9%8a%d8%a9-%d8%b9%d9%84%d9%89-%d8%b7/
الدوار الرابع,شقق طابقية بأعلى المواصفات في جبل عمان الدوار الرابع,385,,,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-%d8%a8%d8%a3%d8%b9%d9%84%d9%89-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d8%b5%d9%81%d8%a7%d8%aa-%d9%81%d9%8a-%d8%ac%d8%a8%d9%84-%d8%b9%d9%85%d8%a7%d9%86/
الدوار الرابع,مشروع شقق 2 و 3 نوم في جبل عمّان,,,,https://qoshan.com/property/%d9%85%d8%b4%d8%b1%d9%88%d8%b9-%d8%b4%d9%82%d9%82-2-%d9%88-3-%d9%86%d9%88%d9%85-%d9%81%d9%8a-%d8%ac%d8%a8%d9%84-%d8%b9%d9%85%d9%91%d8%a7%d9%86/
الدوار الرابع,شقق 3 نوم مميزة وبمساحات مختلفة في جبل عمان الدوار الرابع,,,,https://qoshan.com/property/%d8%b4%d9%82%d9%82-3-%d9%86%d9%88%d9%85-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%88%d8%a8%d9%85%d8%b3%d8%a7%d8%ad%d8%a7%d8%aa-%d9%85%d8%ae%d8%aa%d9%84%d9%81%d8%a9-%d9%81%d9%8a-%d8%ac%d8%a8%d9%84-%d8%b9-2/
الدوار الرابع,شقق 3 نوم مميزة وبمساحات مختلفة في جبل عمان,,,,https://qoshan.com/property/%d8%b4%d9%82%d9%82-3-%d9%86%d9%88%d9%85-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%88%d8%a8%d9%85%d8%b3%d8%a7%d8%ad%d8%a7%d8%aa-%d9%85%d8%ae%d8%aa%d9%84%d9%81%d8%a9-%d9%81%d9%8a-%d8%ac%d8%a8%d9%84-%d8%b9/
الدوار الرابع,شقة 80 متر استثماري في منطقة الدوار الرابع,80,115000,1438,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-80-%d9%85%d8%aa%d8%b1-%d8%a7%d8%b3%d8%aa%d8%ab%d9%85%d8%a7%d8%b1%d9%8a-%d9%81%d9%8a-%d9%85%d9%86%d8%b7%d9%82%d8%a9-%d8%a7%d9%84%d8%af%d9%88%d8%a7%d8%b1-%d8%a7%d9%84%d8%b1%d8%a7/
الدوار الرابع,210م أرضية مع حديقة مميزة في جبل عمان,210,210000,1000,https://qoshan.com/property/210%d9%85-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%81%d9%8a-%d8%ac%d8%a8%d9%84-%d8%b9%d9%85%d8%a7%d9%86/
عبدون,شقق 333م في أرقى أحياء عبدون,,,,https://qoshan.com/property/%d8%b4%d9%82%d9%82-333%d9%85-%d9%81%d9%8a-%d8%a3%d8%b1%d9%82%d9%89-%d8%a3%d8%ad%d9%8a%d8%a7%d8%a1-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,ڤلل مستقلة و متلاصقة مميزة بأجمل أحياء عبدون,750,,,https://qoshan.com/property/%da%a4%d9%84%d9%84-%d9%85%d8%b3%d8%aa%d9%82%d9%84%d8%a9-%d9%88-%d9%85%d8%aa%d9%84%d8%a7%d8%b5%d9%82%d8%a9-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d8%a8%d8%a3%d8%ac%d9%85%d9%84-%d8%a3%d8%ad%d9%8a%d8%a7%d8%a1/
عبدون,مشروع بمساحات مختلفة بإطلالة دائمة في عبدون,,,,https://qoshan.com/property/%d9%85%d8%b4%d8%b1%d9%88%d8%b9-%d8%a8%d9%85%d8%b3%d8%a7%d8%ad%d8%a7%d8%aa-%d9%85%d8%ae%d8%aa%d9%84%d9%81%d8%a9-%d8%a8%d8%a5%d8%b7%d9%84%d8%a7%d9%84%d8%a9-%d8%af%d8%a7%d8%a6%d9%85%d8%a9-%d9%81%d9%8a/
