area,title,size_m2,price_jod,price_per_m2,url
عبدون,شقة أرضية 3 نوم ماستر في أفضل مواقع عبدون,262,360000,1374,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-3-%d9%86%d9%88%d9%85-%d9%85%d8%a7%d8%b3%d8%aa%d8%b1-%d9%81%d9%8a-%d8%a3%d9%81%d8%b6%d9%84-%d9%85%d9%88%d8%a7%d9%82%d8%b9-%d8%b9%d8%a8%d8%af%d9%88/
عبدون,شقق 165متر في عبدون الشمالي,165,225000,1364,https://qoshan.com/property/%d8%b4%d9%82%d9%82-165%d9%85%d8%aa%d8%b1-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86-%d8%a7%d9%84%d8%b4%d9%85%d8%a7%d9%84%d9%8a/
عبدون,شقة طابقية شبه أرضية مع حديقة مميزة في عبدون,275,375000,1364,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-%d8%b4%d8%a8%d9%87-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%81%d9%8a-%d8%b9/
عبدون,شقة أرضية دوبلكس في أجمل مواقع عبدون,403,545000,1352,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d8%af%d9%88%d8%a8%d9%84%d9%83%d8%b3-%d9%81%d9%8a-%d8%a3%d8%ac%d9%85%d9%84-%d9%85%d9%88%d8%a7%d9%82%d8%b9-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقة 370متر في أجمل مواقع عبدون,370,500000,1351,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-370%d9%85%d8%aa%d8%b1-%d9%81%d9%8a-%d8%a3%d8%ac%d9%85%d9%84-%d9%85%d9%88%d8%a7%d9%82%d8%b9-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقق 235م بمواصفات عالية في عبدون,235,315000,1340,https://qoshan.com/property/%d8%b4%d9%82%d9%82-230%d9%85-%d8%a8%d9%85%d9%88%d8%a7%d8%b5%d9%81%d8%a7%d8%aa-%d8%b9%d8%a7%d9%84%d9%8a%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقة أرضية 3 غرف نوم بأجمل مناطق عبدون,255,340000,1333,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-3-%d8%ba%d8%b1%d9%81-%d9%86%d9%88%d9%85-%d8%a8%d8%a3%d8%ac%d9%85%d9%84-%d9%85%d9%86%d8%a7%d8%b7%d9%82-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقة طابقية 470متر بأرقى أحياء عبدون,470,620000,1319,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-470%d9%85%d8%aa%d8%b1%d8%b4%d9%82%d8%a9-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-470%d9%85%d8%aa%d8%b1-%d8%a8%d8%a3%d8%b1%d9%82%d9%89-%d8%a3%d8%ad/
عبدون,شقة 220متر بسعر ممتاز في ارقى احياء عبدون,220,280000,1273,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-220%d9%85%d8%aa%d8%b1-%d8%a8%d8%b3%d8%b9%d8%b1-%d9%85%d9%85%d8%aa%d8%a7%d8%b2-%d9%81%d9%8a-%d8%a7%d8%b1%d9%82%d9%89-%d8%a7%d8%ad%d9%8a%d8%a7%d8%a1-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقة 320م بأجمل اطلالة في أرقى مواقع عبدون,320,400000,1250,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-320%d9%85-%d8%a8%d8%a3%d8%ac%d9%85%d9%84-%d8%a7%d8%b7%d9%84%d8%a7%d9%84%d8%a9-%d9%81%d9%8a-%d8%a3%d8%b1%d9%82%d9%89-%d9%85%d9%88%d8%a7%d9%82%d8%b9-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقة 120متر بتشطيبات خاصة في عبدون,120,150000,1250,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-120%d9%85%d8%aa%d8%b1-%d8%a8%d8%aa%d8%b4%d8%b7%d9%8a%d8%a8%d8%a7%d8%aa-%d8%ae%d8%a7%d8%b5%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
